片号,小学名称,入学方式,服务范围
1,崇州市羊马学校,单校划片,崇江路社区、伏虎村、凌翔社区、全友社区、福田村、经功村1—10组、中华社区
2,崇州市三郎学校,单校划片,三郎社区、余庆社区8-15组、欢喜社区、益善村、凤鸣村、茶园村
3,崇州市街子学校,单校划片,唐公社区、天顺村、会元社区、古寺村、双河社区、上元社区、白圣社区、忙城村、余庆社区1—7组
4,崇州市道明学校,单校划片,东岳社区、龙黄村、顺交村、升平村、天水村、永乐村、红旗村
9,崇州市江源小学校,单校划片,文观村、邓公村、桅杆村
10,崇州市中山小学校,单校划片,民乐村、泗安社区、安阜社区、经功村11—17组
11,崇州市大划小学校,单校划片,德寿社区、白果社区、划石社区、大有社区、崇镇社区、石桥村
12,崇州市梓潼小学校,单校划片,天胜社区9—19组、梓潼社区、天寿村、天府村
13,崇州市廖家小学校,单校划片,廖场村、民和村、新桃村、龙福村、高庆社区
14,崇州市元通小学校,单校划片,圆和社区、聚源村、禹王村、通顺村、清溪村、景汇村、公议社区、花果山社区、天冬堰村、三合堰村
15,崇州市锦江小学校,单校划片,白马社区、新华村、乌龙村、天民村
16,崇州市观胜小学校,单校划片,八角村、池塘村、五桥村、青柳村、联义村、天胜社区1-8组
17,崇州市怀远小学校,单校划片,富丽村、定江桥社区、汊涧社区、泉水社区、黎店村、枫南村、前锋村、三官村、宝峰村、青峰岭社区、安乐社区、富强村、清江村、黄鹤村、达通村、天泉社区、二江村、大坪村、清泉村、大同村、万家社区、马家社区、鞍子河社区、苟家村、鸡冠山村
18,崇州市王场小学校,多校划片,白头镇域内户籍适龄儿童可按照就近就便在白头学校、王场小学校选择一所学校登记
19,崇州市白头小学校,多校划片,白头镇域内户籍适龄儿童可按照就近就便在白头学校、王场小学校选择一所学校登记
20,崇州市济协小学校,单校划片,济民村、双凤村、协和社区
