序号,学校名称,招生范围
1,东部新区三岔湖小学校,三岔街道原三岔街社区、长兴街社区、国宁花园社区、国兴村、国宁村、清水村、毛家祠村、石河堰村、好桅村、石庄村、光荣村、万福村、花厂村1社
2,东部新区兴隆学校,三岔街道原坚石村、四耳村、汪家村、八角村、板桥村、高厂村、清庙村、花厂村（1社除外）
3,东部新区蓝绸带小学校,三岔街道蓝绸带社区
4,东部新区丹景学校,丹景街道新场村（含陈八村、平安村）保安村、张家沟村、柏树村（含辛家嘴村、建国村）、全安村
5,东部新区新民学校,新湖街社区、花苞村（含克难村）、同意村（同朴村）、藕埝村（含烂泥村）、陈河村、蝴蝶村1、5社、龙口村、张家沟村
6,东部新区董家埂学校,董家埂镇深洞村、陈家沟村、大屋沟村、天星堰村、倒马坎村、董家埂场镇
7,东部新区龙云学校,库沿村（含原楼房嘴村、蚂蝗堰村）、高家湾村（含原核桃村）、龙口村（含原蝴蝶村片2、3、4社，不含原龙口村片）
8,东部新区付家坪学校,付家坪村、尊恭村、五马村、小河村
9,东部新区草池小学校,草池街道平桥村（指原罗家村的部分组，不含原平桥村的部分组）、丽星村、平泉村、白马村、国防村、崔家村、裕民社区及玉成街道秀才沟社区（原三益村1组）。
10,东部新区幸福小学校,平桥村（指原平桥村的部分组，不含原罗家村的部分组）、幸福村、盘山村、金鸡村、三渔村、绛溪社区。
11,东部新区长河学校,勤耕村、八仙村、石梁村、五爱村、长河村。
12,东部新区银海学校,海螺镇万年社区、力量村、互利村
13,东部新区金堰学校,坛罐社区、烧房村、青龙村、大鹅村、两河村、栗子村、玉成街道斑竹湾村（1组、2组、3组）、玉成街道赵家山村（7组）
14,东部新区玉成学校,玉成社区、吊脚楼村、街邻村、龙王庙社区（原龙王庙村1组、2组、3组、原袁家坝村）、松林湾村、斑竹湾村（1组、2组、3组除外）、赵家山村（7组除外）
15,东部新区回龙学校,秀才沟社区、涌泉村、回龙村、同盟村、高田村、龙王庙社区（原龙王庙村4组、5组）
16,东部新区三益小学校,玉城街道三益社区
17,东部新区春晖小学校,二道桥村1-10组、竹林村1-9组、健康社区7-11组（原滴水村）
18,东部新区高明学校,高明社区、白金社区、农丰村、高塔村、桅杆村
19,东部新区贾家小学校,城北社区(1-12组）、商贸街社区（1-11组）、前进路社区（1-6组）、团河坝村（1-11组）、健康社区（1-6组）、久隆社区（6-12组）、顺城社区（1-10组）11小组中原洗银村5组，12小组中原洗银村6组、天宫社区9、10组，第8小组中原堰水村6组、水口村1-9组，卧龙村1-13组、桂花村1-10组
20,东部新区五指学校,三大湾村、东风村、石岗社区、五指村
21,东部新区柏林学校,柏林社区1-7组、高坡社区1-10组、顺城社区13-17组，11组中原洗银村7组，12组中原洗银村8组、天宫社区1-7组、8组中原堰水村5组
22,东部新区武庙学校,竹园村 、中坝村、武庙社区、石庙村、青山村、付夕村、团堡村
23,东部新区久隆学校,久隆社区1-5组，13-15组（原久隆村和原王家岩村）、快乐村1-10组、菠萝社区1-13组、十八梯村1-6组
24,东部新区灵仙学校,尹家祠村、金渔池村、灵仙社区、先进村
25,东部新区石盘小学校,龙泉湖社区、银定桥社区、卫星社区、小斑竹村、白塔村、佘家社区、吴家祠社区、方家林社区、凤凰山社区、向阳社区
26,东部新区壮溪小学校,光华社区、马家祠社区、工农村、高产村、民权村
27,东部新区养马小学校,养马街道：铁东社区、荷花社区、长岭社区、松树湾社区、三元社区、熊家篇村、顺江村、海大社区【不含铁东街612号】、新路社区
28,东部新区田家小学校,养马街道：田家坝社区、海大社区铁东街612号
29,东部新区周家学校,石盘街道银杏社区、火箭社区、天长村、三合堰社区、四方碑村、郭家祠村、河嘴村、付家祠村、谢家祠村、艳丰村
30,东部新区芦葭学校,葭新社区、芦葭社区含原烈士村、藕塘村（原惠临村部分）、民乐村、共乐村、岳王村（原岳王村部分）、十里村
31,东部新区石板凳学校,石板凳街道虎山社区，高河村，金山村(原金龙村)，观音村，菜子村(原菜子村1-5社，原许家村1-9社)，岩店村，先锋社区1、2、3社，原高丰村1、2、3、4社，原长堰村4、6社
32,东部新区福田学校,福田街道办辖区：石圣村、大古村、学堂湾村、龙游村、金家坝村、桅杆坝村及福兴街社区
33,东部新区清风学校,清风社区（原谢塘村）、三清庙村、藕塘村、枇杷林村、万角村
34,东部新区先锋小学校,桐子坳社区，观音村，菜子村，岩店村，莲花堰社区现有未拆迁户，先锋社区4、5、6社，原高丰村5、6、7社，原长堰村1、2、3社
35,东部新区英明小学校,英明村、仁里村、岳王村（原翻水村）、建安村、黄桷村、石板凳镇金山村3、4、5、6社
