小学名称,服务范围
南街小学,鹤山街道行政区域
北街小学,鹤山街道朝阳社区、驭虹社区、全兴社区、干柏社区、飞龙社区、鹤山社区、盐井社区、蒲砚村、张塘村1-11组、齐心社区1组（原齐心村、大溪谷）、梁江社区13-15组（原双水井村）、西河村1-7组（原青龙村）
天华学校,鹤山街道天华社区、团结村、铁溪村、龙头村、白塔村、公议村、金沟村、红合村、张塘村12-18组（原梨山村）
文靖学校（小学部）,鹤山街道了翁社区、体泉村、狮子树村、张塘村12-18组（原梨山村）、西河村8-15组（原红炉村）、齐心社区2-7组（原金花村）、西来镇高桥社区和大田村
盐道街小学蒲江校区（西南小学）,鹤山街道梁江社区1-5组（原梁江村）、梁江社区6-12组（原五龙村）、西河村8-15组（原红炉村）、齐心社区2-7组（原金花村）、铁炉村、官帽社区、朝阳湖镇石象村5-8组、鞍山村
成雅小学,寿安街道和平社区、插旗山村、长秋村、丝栗村、七星村、石马村、金家村（1-12组）
泡小分校,寿安街道城南社区、城北社区、隆盛社区、妙乐村、围镇村、松华社区、南锋村、青龙社区、大漕村、金家村（13-18组）
五星学校,寿安街道五星社区、五会村、光明村、吕石桥村、元觉村
复兴小学,西来镇彭河社区、复兴社区、九曲村、三义村、陈坝村
西来学校,西来镇行政区域除复兴小学招生区域的适龄儿童
大兴学校,大兴镇行政区域、成佳镇麟凤村（4、5、7组）、西来镇高桥社区和大田村
成佳学校,成佳镇行政区域
大塘学校,大塘镇行政区域
甘溪学校,甘溪镇行政区域
朝阳湖学校,朝阳湖镇行政区域
蒲江嘉祥联合学校,蒲江县户籍或符合条件的随迁子女
