序号,学校名称,招生区域,备注
1,水口学校,大同镇水口社区、石尊村、曙光村、白象村（不含原陈沟村区域）、李桅村、合江村、金山村,1.水口镇并入大同镇；2.陈沟村并入白象村。
2,高埂学校,高埂街道高桥社区、和平村、光明村、高埂村；羊安街道七里村,1.中安村已并入和平村；2.联合村已并入高桥社区；3.七里村已划为羊安街道区域。
3,白鹤学校,临邛街道鹤鸣社区、西江村（1-7组）、盘陀村（4-5组）、葫芦村（不含11组）、柏树村；文君街道双桥社区,1.鹤鸣村更名为鹤鸣社区；2.渔村更名为双桥社区；3.元兴村已并入葫芦村；4.石燕村已并入柏树村。
4,西桥学校,临邛街道红旗村、西江村(不含1-7组）、喻坎村、盘陀村（不含4-5组）；桑园镇陈院村部分区域,1.盐坝村已并入红旗村。
5,茶园小学,桑园镇西禅社区、张坝社区、和乐村、周场村、凤仪村,1.茶园乡已并入桑园镇；2.茶坝村已并入张坝社区；3.箭道村已并入凤仪村；4.迴龙村已并入周场村。
6,桑园小学,桑园镇桑园社区、向阳社区、童坝村、大林村、陈院村（不含部分区域）,1.通河村已并入向阳社区；2.黑虎村已并入童坝村。
7,固驿小学,固驿街道固驿社区、公议社区、花园村、黑石村、开元村、仁和村、杨坝村,1.公议乡已并入固驿街道；2.龙场村已并入仁和村；3.兴隆村已并入花园村；4.青石村已并入黑石村；5.新安村已并入杨坝村。
8,牟礼小学,固驿街道牟礼社区、小微社区、龙安村、永丰村、长宁村,1.牟礼镇已并入固驿街道；2.曹店村已并入龙安村；3.开建村已并入永丰村。
9,羊安小学,羊安街道羊安社区、界牌村、汤营村、泉水村、樊哙村、永安村、乌尤村,1.羊安镇更名为羊安街道；2.回龙村已并入界牌村；3.大塘村已并入汤营村；4.檀木村已并入泉水村。
10,冉义小学,羊安街道冉义社区、赵塔村、大同村、义和村,1.冉义镇已并入羊安街道；2.新民村已并入赵塔村；3.火星村已并入大同村。
