学校名称,划片范围
西街小学（饮马河校区）,西街、猫市巷、勤俭巷、上升街、桑园巷、三倒拐、福音巷、西街菜市巷、状元街100号以内、状元街五巷、桂湖中路、宝光大道圣谕亭巷口至建设路口单号、建设路、西横街、南街、民生巷、北街、陕西一巷、陕西二巷、新中路、新中路四合居、光明巷、城隍庙巷、香园街、文星街、湖滨路、龙门街、原821厂和红光厂及永星厂在职职工子女、新桂华庭、竹韵新馆、博海城、海伦国际、桂湖名城。
西街小学（新城校区）,蓉都大道以东，蜀龙路以西，五四街以南，学院路东段以北所围成区域。涉及楼盘：渥嘉郡、新城花园、英伦世家、新都花园、金荷大厦、新都花园2期、香樟林1、2期、丹枫庭院、金冠华庭、中铁十三局、一品雅居、锦绣香城、锦绣庭院、雅舍河畔、小城故事、香城名都、公园峰景、烟草公司、龙虎大厦、神仙树小区、金香领邸、芙蓉名城2期、芙蓉名城3期、桂水路46号、清源路517号、马超小区。
谕亭小学（本部）,东街、谕亭巷、大北街、紫瑞街、五四小区、南河路、东环路、桂湖东路、新泰西路、宝光大道中段、宝光大道北段、新加坡商业街、南街、电子两厂在职职工子女、北新路。
谕亭小学（毗河校区）,蓉都大道以东、育英路以西、毗河以北，凌波西路以南区域。涉及楼盘：缤纷翠微湖、交大壹佰栋、交大香洲半岛、双河鹭岛、万科双水岸、堤亚纳河谷、澳洲湾、三嘉悦都、澜悦溪岸。
谕亭小学（叠秀路校区）,蜀龙路以东三河街道回龙、二台子安置小区及地界内拉斐公馆、拉斐云邸、保利紫荆花语、中洲白鹭郡、中洲公园蓝湖郡、御湖湾、蓝贝岛、保利拉斐庄园、熊猫基地生态园小区。
新新路小学,新新街、新军路、新广路、铭章路、状元街(100号后)、菜市坝、宝光大道(部分)、公园路、桂湖西路、新成路、如意大道，西北社区、冶金机械厂、玖源公司、成都市医学院第一附属医院、油缸厂、成铁技校、火车站、六二四研究所，含恒大御府、奥园棠玥府、桂湖正荣府等。
香城小学,蜀龙路以东、饮马河东段以南、绕城大道东一段以西、工业大道东段以北范围内。涉及楼盘：维也纳花园、北欧印象、新都国际广场、汉嘉国际、东骏湖景湾、水沐天城、川音嘉苑、缤纷时代广场、叠香庄园、领地悦府、汇景花园、旭辉天樾花园、旭辉恒基江与山、万和小区、万和嘉苑、亲和居、邻水园、邻亲园、邻和园，鸿山院子、远洋森海境等。
兴乐路小学校,新都大道以南，饮马河以北，蜀龙路以东，绕城大道东一段以西范围内；五四街以北，金光路以南，大件路以东区域。涉及楼盘：天府香城、状元府邸、芙蓉名城A区、橄榄郡、天香苑、北城一号、御城、邑品天都、旺府豪庭、富豪尚都、富豪公馆二期、红星小区、九街广场、万千城、九境堂、星都荟、水岸风景、雍锦府、汇景新城、七一广场、汇尚雅居等。
繁江小学,东至外东街双号76号，南至外南街单号147号，双号130号，西至外西街158号，以及繁清路沿线1--131号至白鹤街8号止，原高墙村、李园村、清白街村。
桂湖小学,桂湖街道宝光社区、督桥河村、五里村、高架村、封赐村、福缘村、新东社区、天官村、五四街以北、蓉都大道钟楼以北、蓉都大道北段延伸段。涉及楼盘：龙家湾小区、新筑小区、格林春天、7080小区、紫瑞二区、城邦、宜峰、信地兰卡威、尚城逸品、圣桦公馆、香城榕园、思学院智能村、锦尚阁、梦溪苑、学仕公馆、鸿运小区、御嘉花苑、翡翠香城等。
成都医学院附属小学,原新都镇五四村，正因村、同仁村，高桥村，红星村，黄河村，泗义村，崇义村，马超村，君跃村，以及在桂林小学附近居住的原肖林村、静安村、板桥村的一部分，大件路以东，新都大道以北、金光路。涉及楼盘：思学苑、学府苑、学邻名苑、学府雅座、我的大学、友盛幸福居、友盛上都、鲜花居、成怡嘉苑、香榭澜郡等。
天元小学,双慈村，瓦店社区，五桂村，新桥村以及天缘路以西、学院路以南，工业大道以北区域。涉及楼盘：溪桥苑、泽瀚峰景、经典魅力、巨获苑、桂景花城、天骄府、昊天苑、胜和世家、博雅桂湖郡、时代名邸、长征机床厂生活区、蓝山晓筑、南颐公馆、龙腾府、新桂苑、竹苑等。
汉城小学,工业大道以南，蓉都大道以西区域；毗河社区、团结社区、天元村、汉城社区、燕塘村。涉及楼盘：锦水苑小区、汉城小区、汉城3期、天元小区、天元小区3期、燕塘等。
